name 	aper   filter corrcount correrr rawcount rawerr  mag   magerr   exp
06ob	1.7	uvm2	0.0073	1 	0.0055	0.0055	22.21 	1 	534.75
06ob	1.7	uvw1	0.043	0.022	0.033	0.016	20.85	0.54	355.62
06on	1.48	uvm2	0.0069	1 	0.0035	0.0054	22.26	1 	467.05
06on	1.48	uvw1	0.019	1 	0.0023	0.0152	21.73	1 	311.56
06on	1.48	uvm2	0.0066	1 	-0.004	0.005	22.31 	1 	810.32
06on	1.48	uvw1	0.032	0.014	0.028	0.012	21.17	0.47	539.68
06os	2.98	uvm2	0.012	1 	-0.006	0.009	21.66	1 	729.84
06os	2.98	uvw1	0.035	0.025	0.031	0.022	21.07	0.75	485.72
06os	2.98	uvm2	0.014	0.011 	0.013	0.009	21.46	0.77	694.39
06os	2.98	uvw1	0.026	1 	0.017	0.023	21.41 	1 	462.14
07cq	3.78	uvm2	0.116	0.024	0.114	0.024	19.19	0.23	874.95
07cq	3.78	uvw1	0.781 	0.047	0.767	0.046	17.71	0.07	706.14
07cq	3.78	uvm2	0.019	1 	0.0092	0.0188	21.13	1 	916.45
07cq	3.78	uvw1	0.337	0.041	0.333	0.041 	18.62	0.13	656.77
07cq	3.78	uvm2	0.055	0.019	0.054	0.019	19.99	0.37	969.22
07cq	3.78	uvw1	0.239	0.037	0.236	0.037	18.99	0.17	690.23
07cq	3.78	uvm2	0.019	1 	-0.031 	0.017	21.15	1 	927.36
07cq	3.78	uvw1	0.049	0.033	0.049	0.032	20.71	0.72	677.45
07cq	3.78	uvm2	0.021	1 	-0.022	0.019	21.07	1 	852.79
07cq	3.78	uvw1	0.031	1 	-0.041 	0.029	21.21 	1 	825.60
07cq	3.78	uvm2	0.021 	1 	-0.021 	0.018	21.09	1 	906.45
07cq	3.78	uvw1	0.032	1 	-0.022	0.031 	21.19	1 	750.55
07cq	3.78	uvm2	0.021 	1 	-0.048	0.017	21.12	1 	937.06
07cq	3.78	uvw1	0.033	1 	-0.041 	0.031	21.14	1 	650.87
08bf	4.26	uvm2	0.0061	1 	-0.001	0.006	22.38	1 	2327.51
08bf	4.26	uvw1	0.015	0.014	0.015	0.014	22.01 	1.04	2055.34
08bf	4.26	uvm2	0.0051 	1 	-0.003	0.005	22.61 	1 	2230.05
08bf	4.26	uvw1	0.012	1 	-0.019	0.011	22.25	1 	1723.14
92bl	1.76	uvm2	0.0036	1 	0.001 	0.003	22.97	1 	1215.02
92bl	1.76	uvw1	0.0021	1 	0.001 	0.002	24.11	1 	2082.28
92bl	1.76	uvw1	0.0051 	1 	0.001 	0.004	23.19	1 	2425.40
92bl	1.76	uvw1	0.0054	1 	0.001 	0.005	23.12	1 	2502.53
95ac	2.04	uvm2	0.0069	1 	0.001 	0.006	22.25	1 	1422.26
95ac	2.04	uvw1	0.019	1 	0.001 	0.017	21.73	1 	947.91
98eg	3.92	uvm2	0.0088	1 	0.001 	0.008	21.98	1 	1669.61
98eg	3.92	uvw1	0.023	1 	0.001 	0.021 	21.51	1 	1111.55
